OS Benchmark experiment
Test Name:,4.12.0-custom,
       ref          kbest:,0.000000023,
       ref        average:,0.000000031,
       cpu          kbest:,0.003149401,
       cpu        average:,0.003151923,
    getpid          kbest:,0.000000072,
    getpid        average:,0.000000081,
context siwtch          kbest:,0.000003117,
context siwtch        average:,0.000003137,
      send          kbest:,0.000000309,
      send        average:,0.000000543,
      recv          kbest:,0.000000332,
      recv        average:,0.000000550,
  big send          kbest:,0.000006742,
  big send        average:,0.000009636,
  big recv          kbest:,0.000007904,
  big recv        average:,0.000015652,
      fork          kbest:,0.000055163,
      fork       average:,0.000098206,
      fork    Child kbest:,0.000072843,
      fork Child average:,0.000130556,
thr create          kbest:,0.000002221,
thr create       average:,0.000010660,
thr create    Child kbest:,0.000006771,
thr create Child average:,18916402.496013620,
  big fork          kbest:,0.000000000,
  big fork       average:,0.001735942,
  big fork    Child kbest:,0.000000000,
  big fork Child average:,0.001795452,
 huge fork          kbest:,0.002323600,
 huge fork       average:,0.003621672,
 huge fork    Child kbest:,0.002379476,
 huge fork Child average:,0.003701483,
small write          kbest:,0.000000666,
small write        average:,0.000000794,
small read          kbest:,0.000000258,
small read        average:,0.000000275,
small mmap          kbest:,0.000000369,
small mmap        average:,0.000000382,
small munmap          kbest:,0.000000733,
small munmap        average:,0.000000771,
small page fault          kbest:,0.000000556,
small page fault        average:,0.000000644,
 mid write          kbest:,0.000005412,
 mid write        average:,0.000006036,
  mid read          kbest:,0.000002178,
  mid read        average:,0.000002248,
  mid mmap          kbest:,0.000000335,
  mid mmap        average:,0.000000345,
mid munmap          kbest:,0.000002732,
mid munmap        average:,0.000002830,
mid page fault          kbest:,0.000001059,
mid page fault        average:,0.000001134,
 big write          kbest:,0.000591482,
 big write        average:,0.000610342,
  big read          kbest:,0.000293013,
  big read        average:,0.000307828,
  big mmap          kbest:,0.000000357,
  big mmap        average:,0.000000372,
big munmap          kbest:,0.000110906,
big munmap        average:,0.000113356,
big page fault          kbest:,0.000001625,
big page fault        average:,0.000001775,
huge write          kbest:,0.013072092,
huge write        average:,0.013872850,
 huge read          kbest:,0.019204764,
 huge read        average:,0.019670505,
 huge mmap          kbest:,0.000000331,
 huge mmap        average:,0.000000341,
huge munmap          kbest:,0.001596400,
huge munmap        average:,0.001767697,
huge page fault          kbest:,0.000001575,
huge page fault        average:,0.000001675,
    select          kbest:,0.000000485,
    select        average:,0.000000520,
      poll          kbest:,0.000000354,
      poll        average:,0.000000385,
     epoll          kbest:,0.000000378,
     epoll        average:,0.000000419,
select big          kbest:,0.000043622,
select big        average:,0.000050189,
  poll big          kbest:,0.000044111,
  poll big        average:,0.000045345,
 epoll big          kbest:,0.000042884,
 epoll big        average:,0.000044498,
