OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000021,
       ref        average:,0.000000024,
       cpu          kbest:,0.002481331,
       cpu        average:,0.002486053,
    getpid          kbest:,0.000000420,
    getpid        average:,0.000000429,
context siwtch          kbest:,0.000004884,
context siwtch        average:,0.000004994,
      fork          kbest:,0.000059727,
      fork       average:,0.000117978,
      fork    Child kbest:,0.000134996,
      fork Child average:,0.000218047,
thr create          kbest:,0.000013013,
thr create       average:,0.000026107,
thr create    Child kbest:,0.000019418,
thr create Child average:,0.000045469,
  big fork          kbest:,0.001765786,
  big fork       average:,0.002727127,
  big fork    Child kbest:,0.001886650,
  big fork Child average:,0.002855275,
 huge fork          kbest:,0.004671222,
 huge fork       average:,0.007017758,
 huge fork    Child kbest:,0.004807302,
 huge fork Child average:,0.007156686,
small write          kbest:,0.000001510,
small write        average:,0.000002066,
small read          kbest:,0.000000679,
small read        average:,0.000000707,
small mmap          kbest:,0.000000792,
small mmap        average:,0.000000823,
small munmap          kbest:,0.000001249,
small munmap        average:,0.000001293,
small page fault          kbest:,0.000000851,
small page fault        average:,0.000000884,
 mid write          kbest:,0.000006495,
 mid write        average:,0.000007765,
  mid read          kbest:,0.000002648,
  mid read        average:,0.000002870,
  mid mmap          kbest:,0.000000770,
  mid mmap        average:,0.000000796,
mid munmap          kbest:,0.000004263,
mid munmap        average:,0.000004403,
mid page fault          kbest:,0.000001321,
mid page fault        average:,0.000001367,
 big write          kbest:,0.000613215,
 big write        average:,0.000627501,
  big read          kbest:,0.000307751,
  big read        average:,0.000309403,
  big mmap          kbest:,0.000000774,
  big mmap        average:,0.000000805,
big munmap          kbest:,0.000102997,
big munmap        average:,0.000104121,
big page fault          kbest:,0.000001877,
big page fault        average:,0.000002402,
huge write          kbest:,0.013651909,
huge write        average:,0.013894306,
 huge read          kbest:,0.019528923,
 huge read        average:,0.019736819,
 huge mmap          kbest:,0.000000771,
 huge mmap        average:,0.000000798,
huge munmap          kbest:,0.001298304,
huge munmap        average:,0.001320508,
huge page fault          kbest:,0.000001883,
huge page fault        average:,0.000002175,
    select          kbest:,0.000001208,
    select        average:,0.000001307,
      poll          kbest:,0.000001116,
      poll        average:,0.000001216,
     epoll          kbest:,0.000001105,
     epoll        average:,0.000001219,
select big          kbest:,0.000093746,
select big        average:,0.000101270,
  poll big          kbest:,0.000096910,
  poll big        average:,0.000102913,
 epoll big          kbest:,0.000099325,
 epoll big        average:,0.000105599,
