OS Benchmark experiment
Test Name:,4.4.0-179-generic,
       ref          kbest:,0.000000027,
       ref        average:,0.000000028,
       cpu          kbest:,0.006381801,
       cpu        average:,0.006384492,
    getpid          kbest:,0.000000347,
    getpid        average:,0.000000357,
context siwtch          kbest:,0.000005715,
context siwtch        average:,0.000006519,
      send          kbest:,0.000000439,
      send        average:,0.000000842,
      recv          kbest:,0.000000353,
      recv        average:,0.000000665,
  big send          kbest:,0.000000454,
  big send        average:,0.000000875,
  big recv          kbest:,0.000000656,
  big recv        average:,0.000000680,
      fork          kbest:,0.000148040,
      fork       average:,0.000161497,
      fork    Child kbest:,0.000195710,
      fork Child average:,0.000215203,
thr create          kbest:,0.000011857,
thr create       average:,0.000016766,
thr create    Child kbest:,0.000017493,
thr create Child average:,0.000023043,
  big fork          kbest:,0.002024106,
  big fork       average:,0.003095184,
  big fork    Child kbest:,0.002102383,
  big fork Child average:,0.003190693,
 huge fork          kbest:,0.004096949,
 huge fork       average:,0.005584674,
 huge fork    Child kbest:,0.004174020,
 huge fork Child average:,0.005687645,
small write          kbest:,0.000001313,
small write        average:,0.000001488,
small read          kbest:,0.000000714,
small read        average:,0.000000777,
small mmap          kbest:,0.000000824,
small mmap        average:,0.000000856,
small munmap          kbest:,0.000001394,
small munmap        average:,0.000001492,
small page fault          kbest:,0.000001161,
small page fault        average:,0.000001201,
 mid write          kbest:,0.000009007,
 mid write        average:,0.000009285,
  mid read          kbest:,0.000003735,
  mid read        average:,0.000003979,
  mid mmap          kbest:,0.000000800,
  mid mmap        average:,0.000000844,
mid munmap          kbest:,0.000006069,
mid munmap        average:,0.000006207,
mid page fault          kbest:,0.000001924,
mid page fault        average:,0.000001966,
 big write          kbest:,0.000937520,
 big write        average:,0.000993232,
  big read          kbest:,0.000565409,
  big read        average:,0.000569873,
  big mmap          kbest:,0.000000739,
  big mmap        average:,0.000000784,
big munmap          kbest:,0.000147621,
big munmap        average:,0.000151128,
big page fault          kbest:,0.000002781,
big page fault        average:,0.000002940,
huge write          kbest:,0.019236983,
huge write        average:,0.019376787,
 huge read          kbest:,0.024571978,
 huge read        average:,0.024680775,
 huge mmap          kbest:,0.000000746,
 huge mmap        average:,0.000000818,
huge munmap          kbest:,0.001348460,
huge munmap        average:,0.001366208,
huge page fault          kbest:,0.000002747,
huge page fault        average:,0.000002930,
    select          kbest:,0.000001455,
    select        average:,0.000001577,
      poll          kbest:,0.000001417,
      poll        average:,0.000001701,
     epoll          kbest:,0.000001576,
     epoll        average:,0.000001679,
select big          kbest:,0.000113931,
select big        average:,0.000132692,
  poll big          kbest:,0.000118944,
  poll big        average:,0.000137408,
 epoll big          kbest:,0.000148027,
 epoll big        average:,0.000179914,
