OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000021,
       ref        average:,0.000000024,
       cpu          kbest:,0.002481327,
       cpu        average:,0.002485481,
    getpid          kbest:,0.000000420,
    getpid        average:,0.000000426,
context siwtch          kbest:,0.000004067,
context siwtch        average:,0.000004906,
      fork          kbest:,0.000092951,
      fork       average:,0.000192395,
      fork    Child kbest:,0.000171304,
      fork Child average:,0.000294617,
      send          kbest:,0.000001555,
      send        average:,0.000001965,
      recv          kbest:,0.000000927,
      recv        average:,0.000002071,
  big send          kbest:,0.000010764,
  big send        average:,0.000018574,
  big recv          kbest:,0.000012779,
  big recv        average:,0.000025213,
thr create          kbest:,0.000013309,
thr create       average:,0.000025996,
thr create    Child kbest:,0.000018915,
thr create Child average:,0.000045016,
  big fork          kbest:,0.001998240,
  big fork       average:,0.002716672,
  big fork    Child kbest:,0.002121901,
  big fork Child average:,0.002850614,
 huge fork          kbest:,0.003276427,
 huge fork       average:,0.007212766,
 huge fork    Child kbest:,0.004124367,
 huge fork Child average:,0.007355086,
small write          kbest:,0.000001497,
small write        average:,0.000002010,
small read          kbest:,0.000000693,
small read        average:,0.000000712,
small mmap          kbest:,0.000000789,
small mmap        average:,0.000000813,
small munmap          kbest:,0.000001248,
small munmap        average:,0.000001282,
small page fault          kbest:,0.000000866,
small page fault        average:,0.000000899,
 mid write          kbest:,0.000006510,
 mid write        average:,0.000007825,
  mid read          kbest:,0.000002646,
  mid read        average:,0.000002786,
  mid mmap          kbest:,0.000000781,
  mid mmap        average:,0.000000805,
mid munmap          kbest:,0.000004295,
mid munmap        average:,0.000004464,
mid page fault          kbest:,0.000001334,
mid page fault        average:,0.000001368,
 big write          kbest:,0.000633894,
 big write        average:,0.000641136,
  big read          kbest:,0.000333413,
  big read        average:,0.000335222,
  big mmap          kbest:,0.000000794,
  big mmap        average:,0.000000824,
big munmap          kbest:,0.000105181,
big munmap        average:,0.000106492,
big page fault          kbest:,0.000001877,
big page fault        average:,0.000002347,
huge write          kbest:,0.013754178,
huge write        average:,0.013963791,
 huge read          kbest:,0.019443377,
 huge read        average:,0.019876207,
 huge mmap          kbest:,0.000000787,
 huge mmap        average:,0.000000816,
huge munmap          kbest:,0.001140605,
huge munmap        average:,0.001435243,
huge page fault          kbest:,0.000001873,
huge page fault        average:,0.000002373,
    select          kbest:,0.000001208,
    select        average:,0.000001304,
      poll          kbest:,0.000001104,
      poll        average:,0.000001171,
     epoll          kbest:,0.000001108,
     epoll        average:,0.000001217,
select big          kbest:,0.000094288,
select big        average:,0.000102396,
  poll big          kbest:,0.000094256,
  poll big        average:,0.000100964,
 epoll big          kbest:,0.000096029,
 epoll big        average:,0.000101362,
