OS Benchmark experiment
Test Name:,4.12.0-custom,
       ref          kbest:,0.000000023,
       ref        average:,0.000000031,
       cpu          kbest:,0.003394453,
       cpu        average:,0.003398319,
    getpid          kbest:,0.000000075,
    getpid        average:,0.000000080,
context siwtch          kbest:,0.000002757,
context siwtch        average:,0.000002978,
      send          kbest:,0.000000265,
      send        average:,0.000000917,
      recv          kbest:,0.000000563,
      recv        average:,0.000001036,
  big send          kbest:,0.000011697,
  big send        average:,0.000016991,
  big recv          kbest:,0.000018333,
  big recv        average:,0.000028414,
      fork          kbest:,0.000083787,
      fork       average:,0.000177544,
      fork    Child kbest:,0.000110125,
      fork Child average:,0.000243933,
thr create          kbest:,0.000004508,
thr create       average:,0.000012880,
thr create    Child kbest:,0.000006061,
thr create Child average:,0.000020138,
  big fork          kbest:,0.001363067,
  big fork       average:,0.002773888,
  big fork    Child kbest:,0.001451931,
  big fork Child average:,0.002879730,
 huge fork          kbest:,0.002672601,
 huge fork       average:,0.005081709,
 huge fork    Child kbest:,0.002777699,
 huge fork Child average:,0.005192704,
small write          kbest:,0.000000633,
small write        average:,0.000000781,
small read          kbest:,0.000000248,
small read        average:,0.000000278,
small mmap          kbest:,0.000000351,
small mmap        average:,0.000000364,
small munmap          kbest:,0.000000712,
small munmap        average:,0.000000749,
small page fault          kbest:,0.000000517,
small page fault        average:,0.000000526,
 mid write          kbest:,0.000005505,
 mid write        average:,0.000005721,
  mid read          kbest:,0.000002176,
  mid read        average:,0.000002273,
  mid mmap          kbest:,0.000000336,
  mid mmap        average:,0.000000363,
mid munmap          kbest:,0.000002788,
mid munmap        average:,0.000002871,
mid page fault          kbest:,0.000000972,
mid page fault        average:,0.000001009,
 big write          kbest:,0.000594840,
 big write        average:,0.000599396,
  big read          kbest:,0.000293790,
  big read        average:,0.000295798,
  big mmap          kbest:,0.000000354,
  big mmap        average:,0.000000399,
big munmap          kbest:,0.000112121,
big munmap        average:,0.000112977,
big page fault          kbest:,0.000001467,
big page fault        average:,0.000001507,
huge write          kbest:,0.013073333,
huge write        average:,0.014227162,
 huge read          kbest:,0.020154983,
 huge read        average:,0.021296836,
 huge mmap          kbest:,0.000000359,
 huge mmap        average:,0.000000373,
huge munmap          kbest:,0.001776032,
huge munmap        average:,0.001806714,
huge page fault          kbest:,0.000001465,
huge page fault        average:,0.000001519,
    select          kbest:,0.000000481,
    select        average:,0.000000543,
      poll          kbest:,0.000000351,
      poll        average:,0.000000403,
     epoll          kbest:,0.000000379,
     epoll        average:,0.000000424,
select big          kbest:,0.000043666,
select big        average:,0.000046325,
  poll big          kbest:,0.000044173,
  poll big        average:,0.000049804,
 epoll big          kbest:,0.000042865,
 epoll big        average:,0.000048014,
